docid	title	curid	revid	url	text_md5
sr-116594	Makedonija u polufinalu EP posle pobede nad Litvanijom	116594	3088377	https://sr.wikinews.org/wiki?curid=116594	c24e22f4c7f8964a5b2fa6f7611c3dba
sr-116600	Generalni sekretar NATO Rasmusen na Kosovu	116600	3088529	https://sr.wikinews.org/wiki?curid=116600	962497d06b227c8b8311eccbff7fc5aa
sr-116602	Srbija protiv Rusije u četvrtfinalu EP	116602	3088506	https://sr.wikinews.org/wiki?curid=116602	f4499f2f3cfa9b0207ff2fae4a282504
sr-116603	Počinje prvi Beogradski bezbednosni forum	116603	3088575	https://sr.wikinews.org/wiki?curid=116603	cfee742d8d0c28c36fe0deaac6dfa292
sr-116604	Odbojkaši Srbije protiv Francuske u četvrtfinalu EP	116604	3088512	https://sr.wikinews.org/wiki?curid=116604	eee94127bffffc956bed6ad640cbe8b7
sr-116605	Šljunkom blokiran most u Kosovskoj Mitrovici	116605	3088530	https://sr.wikinews.org/wiki?curid=116605	ba6135c7fb66a9ee8ae98fe1c436d801
sr-116619	Đoković na startu sa Nalbadijanom	116619	3088527	https://sr.wikinews.org/wiki?curid=116619	f36cd00867ace7c12c217cc9e21f2284
sr-116622	Carina od petka, Beograd znao	116622	3088543	https://sr.wikinews.org/wiki?curid=116622	532d7e1cb3571fcdde4cb1d2cd1fa879
sr-116623	Barikade na severu Kosova	116623	3088544	https://sr.wikinews.org/wiki?curid=116623	6b987c1f4686f92f2a87cff569b5e469
sr-116628	Београд: Измене режима јавног превоза због радова у Пауновој	116628	3147861	https://sr.wikinews.org/wiki?curid=116628	5e4ff9e2546851e3a8b36064fc064076
sr-116637	Rasmunsen: Nema povratka nazad	116637	3088553	https://sr.wikinews.org/wiki?curid=116637	b286d586eefa2a2da96e25026bb6af22
sr-116638	Iznajmljenim kozama protiv korova	116638	3088568	https://sr.wikinews.org/wiki?curid=116638	b739a91642a4fd0e0d62ef54876ad056
sr-116643	BSK dočekuje Radnički u Borči	116643	3088520	https://sr.wikinews.org/wiki?curid=116643	d90bd20dee3e8244460be39380d2a673
sr-116645	Fatalni sms	116645	3088555	https://sr.wikinews.org/wiki?curid=116645	c571ea32b568cce8fbc46571a90f9d09
sr-116646	Litvanija u kvalifikacijama za OI	116646	3088507	https://sr.wikinews.org/wiki?curid=116646	d6432c0ec265098ad5ebed50c83303ec
sr-116650	Београд: Обележено 93 године од пробоја Солунског фронта	116650	3088481	https://sr.wikinews.org/wiki?curid=116650	3ee0aef39c2813cb47ca00442d3a7a65
sr-116651	Euleks u petak preuzima Brnjak i Jarinje	116651	3088556	https://sr.wikinews.org/wiki?curid=116651	8c6f7fb5285acd65139b4a735601b09e
sr-116653	Kačar pauzira zbog slomljenog nosa	116653	3088521	https://sr.wikinews.org/wiki?curid=116653	ec1dabf4c0f6bd7acbbd7d8c6bd675fb
sr-116654	Uspostavljanje carine dobro i za Srbe	116654	3088566	https://sr.wikinews.org/wiki?curid=116654	45b2c4ac3cc09190f0477ab163a4db30
sr-116655	Francuzi u polufinalu EP	116655	3088509	https://sr.wikinews.org/wiki?curid=116655	8d5cc32e066fbf5dc80fedb0a70a3be0
sr-116657	Đoković se raduje Dejvis kupu	116657	3088526	https://sr.wikinews.org/wiki?curid=116657	2cccd47cb733b000a5eb3900d40d0790
sr-116660	Odbojkaši Srbije u polufinalu Evropskog prvenstva	116660	3088514	https://sr.wikinews.org/wiki?curid=116660	771caf12c56f4a260da85f027e7b7c89
sr-116662	Ništa od medalje u Litvaniji	116662	3088540	https://sr.wikinews.org/wiki?curid=116662	bdc83796e41e985c283afed90c8fcd6e
sr-116675	Заштићени сведок: Срби протеривали Муслимане из Фоче	116675	3088585	https://sr.wikinews.org/wiki?curid=116675	33c59a9217883bfbcfa8d05ee1bc5668
sr-116680	Radnici i učenici mirno protestuju zbog namera Prištine	116680	3088723	https://sr.wikinews.org/wiki?curid=116680	8c81141c1d86d4bf921f46c5f2840cca
sr-116682	Sleteo helikopter sa kosovskim carinicima na Brnjak	116682	3088725	https://sr.wikinews.org/wiki?curid=116682	79108fdde4685c0f2ef91785b82a693f
sr-116685	Novi Pazar nada se pobedi	116685	3088705	https://sr.wikinews.org/wiki?curid=116685	68cf579d3950fc516084287902796f5b
sr-116686	Hajduk gost Partizanu, Zvezda protiv Borca	116686	3088702	https://sr.wikinews.org/wiki?curid=116686	9c7de6485e4b8c70424cc9e4dd5b8ed9
sr-116687	Po jedna pobeda Australijancima i Švajcarcima	116687	3088701	https://sr.wikinews.org/wiki?curid=116687	96fe6ba5d7808aed4001e6907cd8b475
sr-116690	Petar Popović u Zvezdi	116690	3088707	https://sr.wikinews.org/wiki?curid=116690	a3ab3010360fdc288311399ed8f55251
sr-116693	Hajduk nije slučajno lider Super lige	116693	3088706	https://sr.wikinews.org/wiki?curid=116693	220ab4c60873d57af7c1bc86a3559454
sr-116694	Radu potrebna pobeda i podrška navijača	116694	3088709	https://sr.wikinews.org/wiki?curid=116694	fb5f57731b5aa1d072d34b1d0e954a3d
sr-116699	Hag ustupa predmete domaćim sudovima	116699	3088732	https://sr.wikinews.org/wiki?curid=116699	5191c554df0cf6776c5cf0ab284a02ef
sr-116702	Stanojević: Jasno je ko je favorit	116702	3088889	https://sr.wikinews.org/wiki?curid=116702	4669ec4b06ba087ec0d69e697465fb1a
sr-116706	Београд: Oбележавање „Дана eвропске баштине” у Народној банци Србије	116706	3088646	https://sr.wikinews.org/wiki?curid=116706	58b5fe494f8d1323608dc36eca3a181b
sr-116708	Bekam je više od običnog fudbalera	116708	3152451	https://sr.wikinews.org/wiki?curid=116708	0f9a6b4f0947238c548ab215fb3f2d7d
sr-116713	Zvezda kvalitetnija od Borca	116713	3088713	https://sr.wikinews.org/wiki?curid=116713	e8ca53ef3d62e90234e1208de20780fa
sr-116714	Najbolji planinski biciklisti Balkana u Novom Pazaru	116714	3088714	https://sr.wikinews.org/wiki?curid=116714	f81c65a84a59268a8e87042baffae18d
sr-116716	Česi brane dremljivog ministra	116716	3088738	https://sr.wikinews.org/wiki?curid=116716	d2dff00ae287501f99ff4625b5727da1
sr-116720	Španija vodi sa 2:0 protiv Francuske	116720	3088700	https://sr.wikinews.org/wiki?curid=116720	5145be38c0fc17b7d622e4a2bdbfba5a
sr-116722	Prvi kamioni sa robom ušli na Kosovo	116722	3088736	https://sr.wikinews.org/wiki?curid=116722	5c86b4949e63b224cf94118970382239
sr-116723	Rekordna zarada Real Madrida	116723	3092217	https://sr.wikinews.org/wiki?curid=116723	498d271c88885971b4c0868ba2a09230
sr-116725	Београд: Милан Кркобабић разговарао с представницима удружења избеглица из Хрватске	116725	3088684	https://sr.wikinews.org/wiki?curid=116725	5a0d6f22897043d2abb66a0cd8857611
sr-116726	Nalbandijan pobedio Troickog	116726	3088699	https://sr.wikinews.org/wiki?curid=116726	0c15b8f3683ddeaa01c82b58277b2046
sr-116729	Francuska drugi finalista EP posle pobede nad Rusijom	116729	3088721	https://sr.wikinews.org/wiki?curid=116729	feb6508d5985bae4998ad6c68fdc3f36
sr-116735	Nema razgovora o pitanjima prelaza	116735	3088827	https://sr.wikinews.org/wiki?curid=116735	8d9dc2611becc51b013a692665f13aca
sr-116738	Poraz Tipsarevića, Argentina vodi 2:0	116738	3088816	https://sr.wikinews.org/wiki?curid=116738	50eed87e794fa9f1d283a46d108807dc
sr-116740	Na Merdaru vraćena tri kamiona sa robom s Kosova	116740	3088828	https://sr.wikinews.org/wiki?curid=116740	057d0b9c2fec3ef8aab897c09ada0959
sr-116741	Mesec srpske kulture u Budimpešti	116741	3088829	https://sr.wikinews.org/wiki?curid=116741	ae17967d7b8d84a4733191dcc6686ba4
sr-116743	Blokirani svi važni putni pravci na severu Kosova	116743	3088812	https://sr.wikinews.org/wiki?curid=116743	11f842839eca78749a81504a35f7a6db
sr-116745	Ivković: Neobičan i neočekivan poraz	116745	3088819	https://sr.wikinews.org/wiki?curid=116745	58e7621328460fd45fe4edd6259d9825
sr-116746	Pijani medvedi opasnost za turiste	116746	3089137	https://sr.wikinews.org/wiki?curid=116746	9140d24fec0c5a954b8663a600bc4de6
sr-116751	Srbija protiv Rusije u polufinalu EP	116751	3088818	https://sr.wikinews.org/wiki?curid=116751	a269d919a3442fade6c1c5646bf2f605
sr-116753	Београд: Град обезбедио цистерне с водом за пиће	116753	3088798	https://sr.wikinews.org/wiki?curid=116753	59a99fafee4c98f2e68ab3f356429374
sr-116755	Propuštanje kamiona uz validne dokumente	116755	3088831	https://sr.wikinews.org/wiki?curid=116755	72b076b80ed8f1a4e9ac955206d43468
sr-116756	Stefanović: Tači primenjuje dogovor kako njemu odgovara	116756	3088832	https://sr.wikinews.org/wiki?curid=116756	f9974487701bc91fb29803a5ec0deb72
sr-116757	Protesti radnika u Vroclavu	116757	3088834	https://sr.wikinews.org/wiki?curid=116757	9b98aee9ae19ad195034812510025a17
sr-116758	Uhapšen zbog opscenih poziva policajkama	116758	3088838	https://sr.wikinews.org/wiki?curid=116758	c86a431b469a2a6792261eada32c43a9
sr-116761	Blekburn posle preokreta pobedio Arsenal	116761	3088822	https://sr.wikinews.org/wiki?curid=116761	bb4b6369b4714086cf8055cf8f7b7316
sr-116762	Kosovo razmislja ponovo o reciprocitetu	116762	3088837	https://sr.wikinews.org/wiki?curid=116762	c77017b3aaf4be83d6b7ad6b0c1d1d54
sr-116763	Srpski dubl bolji od Argentinskog, smanjena prednost na 2:1	116763	3088811	https://sr.wikinews.org/wiki?curid=116763	1f35c02c22826220e61e3a5418080832
sr-116765	Београд: Обележено пола века постојања насеља Ледине	116765	3088809	https://sr.wikinews.org/wiki?curid=116765	ef1e266e28fffec7158c36d495e66707
sr-116766	Srbija u finalu EP posle velike pobede nad Rusijom	116766	3088825	https://sr.wikinews.org/wiki?curid=116766	d99bf1a7e79bee1e58370b40d504d4ac
sr-116773	Na severu Kosova mirno ali napeto	116773	3088927	https://sr.wikinews.org/wiki?curid=116773	26cfe035ef2ad172ab2f92eecd006c43
sr-116778	Ostaje žal za OI, ali Srbija ima budućnost	116778	3088924	https://sr.wikinews.org/wiki?curid=116778	f8ee3cf7d550b5f8489565959909be95
sr-116788	Napao sagovornika tokom TV debate	116788	3088915	https://sr.wikinews.org/wiki?curid=116788	dd2b5a8c1ac8211968da1225dd5cada1
sr-116789	Osvojio samo četiri glasa na izborima u Danskoj	116789	3088914	https://sr.wikinews.org/wiki?curid=116789	4ef5dd5ae58b80f976b1964e1e886fbf
sr-116790	Београд: Почиње пријављивање за „Женску трку 2011.”	116790	3088913	https://sr.wikinews.org/wiki?curid=116790	1b4ac029aaa50b16f71b873c21a3a752
sr-116792	Slavko Petrović više nije trener Rada	116792	3088911	https://sr.wikinews.org/wiki?curid=116792	15ffe08d33030abe0a743f5e5699cc20
sr-116793	FSS ne zna ništa o hapšenju Đorđevića	116793	3088910	https://sr.wikinews.org/wiki?curid=116793	89b0f8cba1fcea9e68f14725a11cfda2
sr-116794	Још се не зна место пада Насиног сателита	116794	3146163	https://sr.wikinews.org/wiki?curid=116794	36e0c9cd5cfee32865dcd65253a2f7f8
sr-116798	Партизан победио Хајдук	116798	3088907	https://sr.wikinews.org/wiki?curid=116798	e31f64da07521ff174f961c66790bf12
sr-116799	Đoković predao meč, Srbija bez finala	116799	3091763	https://sr.wikinews.org/wiki?curid=116799	2d1b8b0dada30e7b2502e2a09cdfc1d5
sr-116802	Деветоро мртвих у несрећи у Риноу	116802	3146164	https://sr.wikinews.org/wiki?curid=116802	49baffde548b5d5c24c69c2a05b99000
sr-116805	Srbija prvak Evrope	116805	3088935	https://sr.wikinews.org/wiki?curid=116805	8be3121c7432a777dcf626df27825386
sr-116807	Još jedna noć Srba na barikadama	116807	3089073	https://sr.wikinews.org/wiki?curid=116807	e5efef4205843f4172719442b7b62615
sr-116812	Београд: Одржана „Спортска бајка” у Бео зооврту	116812	3088954	https://sr.wikinews.org/wiki?curid=116812	082e8d5bfda6181cd9fe9901844cdb1f
sr-116817	Kfor se povukao sa puta Mitrovica-Zubin Potok	116817	3089075	https://sr.wikinews.org/wiki?curid=116817	725fc02cab16460f6a35cd4769a9eb6b
sr-116829	Београд: Седница Скупштине града у среду, 21. септембра	116829	3088986	https://sr.wikinews.org/wiki?curid=116829	6b1fc0ee9e0e511570e72ed1a6df5e41
sr-116836	Zlatna medalja ove generacije je ostvaren san	116836	3089059	https://sr.wikinews.org/wiki?curid=116836	e313c6f3c152b4d15a90e7986d59a162
sr-116837	U prodaji karte za meč protiv Italije	116837	3089058	https://sr.wikinews.org/wiki?curid=116837	b5d13f593508e7f3c2e29d090ea13ef6
sr-116842	Roba na Kosovo preko Končulja kod Bujanovca	116842	3089088	https://sr.wikinews.org/wiki?curid=116842	cae23eaef857bbb9ad6c3f60221befad
sr-116843	Milovanović nije više trener FK Novi Pazar	116843	3089063	https://sr.wikinews.org/wiki?curid=116843	67750f33a2104c035c4a094a666ac8f3
sr-116845	Italijanski navijači ne dolaze u Beograd	116845	3089061	https://sr.wikinews.org/wiki?curid=116845	b3d51343e20be6ce385f250816b99351
sr-116847	Kfor iz helikoptera bacao letke	116847	3089089	https://sr.wikinews.org/wiki?curid=116847	55a852b2a2b42d9ea5e2ba5486f5ff3c
sr-116848	Uspeh odbojkaša veliki podstrek pred EP za žene	116848	3089055	https://sr.wikinews.org/wiki?curid=116848	312864a8c5593e9554fab58d51cbfe6a
