docid	title	curid	revid	url	text_md5
en-106602	NOAA says Earth's oceans becoming more acidic	106602	1986523	https://en.wikinews.org/wiki?curid=106602	a504b8679bd5f6eeae93536d2b3bb6d6
en-106608	Two men fined over 2006 German train crash that killed 23	106608	1100545	https://en.wikinews.org/wiki?curid=106608	b183ca9d8392849395cd56e37c2a5cb4
en-106610	New law to help asbestos sufferers in Victoria, Australia	106610	4360069	https://en.wikinews.org/wiki?curid=106610	86b30cb07eea2779541562c54eb9261e
en-106632	President Bush to meet with LDS Church leaders in Utah	106632	1410456	https://en.wikinews.org/wiki?curid=106632	b5eefea779c04081602521049e579b9f
en-106644	Morgan Tsvangirai returns to Zimbabwe	106644	4366347	https://en.wikinews.org/wiki?curid=106644	7aead039ec500822f9a7c4eeae120963
en-106652	Author Robert Asprin dead at 61	106652	644811	https://en.wikinews.org/wiki?curid=106652	30444e3cb2b39d59f6d0cc906007de8e
en-106653	Boeing pushes back 737 replacement development	106653	1100121	https://en.wikinews.org/wiki?curid=106653	65c662ef418f773fabb3ab2a950e54ca
en-106688	Squash lines up for the 2016 Olympics	106688	4209038	https://en.wikinews.org/wiki?curid=106688	c571f0cd700ee9430a454efe31c0b380
en-106690	South Africa's largest weekly newspaper wants President Mbeki to resign	106690	2542131	https://en.wikinews.org/wiki?curid=106690	3deb5e8a824a04e6f965e08acbbc2ef0
en-106691	Boeing 747 cargo plane breaks in two after failed takeoff at Brussels Airport	106691	1434189	https://en.wikinews.org/wiki?curid=106691	0e49415fff20663d9822e869b92511d8
en-106710	French fry 'king' J. R. Simplot dies at age 99	106710	757889	https://en.wikinews.org/wiki?curid=106710	aac16c8c14d2800ec42473fb197dafba
en-106712	NASA's Phoenix spacecraft lands safely on Mars	106712	4453731	https://en.wikinews.org/wiki?curid=106712	6004339586c80223e795562e147b8b0d
en-106734	Wikinews Shorts: May 26, 2008	106734	2714839	https://en.wikinews.org/wiki?curid=106734	d6f4701c6624b225e72da61d24751163
en-106741	2008 COMPUTEX Taipei: Three awards, One target	106741	1108560	https://en.wikinews.org/wiki?curid=106741	45854b9870f1f313f5da169a21b23b45
en-106754	Fire and explosions kill at least 30 at Iranian chemical factory	106754	1100243	https://en.wikinews.org/wiki?curid=106754	b2cb0e82af454d63d130f2afe80c6d6a
en-106755	Nine killed as Russian cargo plane crashes in Siberia	106755	1972990	https://en.wikinews.org/wiki?curid=106755	c32bf24d32d8bd491d8ae32454dc8235
en-106768	Film director Sydney Pollack dies at age 73	106768	1108862	https://en.wikinews.org/wiki?curid=106768	25a70de0ea38883f033e01e110c5ea78
en-106776	FIFA suspend Asian Cup football (soccer) champions Iraq	106776	3884688	https://en.wikinews.org/wiki?curid=106776	1bf038a9b8fd781616d479293a88e27c
en-106785	Google claims that lawsuit threatens Internet	106785	2591724	https://en.wikinews.org/wiki?curid=106785	31625e210ba28e026b406c5bebb4b375
en-106791	IE8 Beta 2 will be released soon	106791	646427	https://en.wikinews.org/wiki?curid=106791	bc52f2e9849d85000c9743b7de99187d
en-106833	Bob Barr wins the Libertarian Party presidential nomination	106833	1934296	https://en.wikinews.org/wiki?curid=106833	3c9fa57141c715d411c9b37a3a7e2026
en-106834	Florida teacher lets students vote to remove child from class	106834	1430513	https://en.wikinews.org/wiki?curid=106834	f56f675e91f174018942c15facd0e108
en-106848	UK submarine hits rocks in Red Sea	106848	3101297	https://en.wikinews.org/wiki?curid=106848	f660bfd9073b95948dee3cf58824c9a8
en-106849	New Jersey court rules Spanish citizens can sue over ship asbestos	106849	740741	https://en.wikinews.org/wiki?curid=106849	3dcf2e4761454d260b0a226343835f1e
en-106909	Two MBTA Green Line trains collide in Newton, Massachusetts	106909	1468229	https://en.wikinews.org/wiki?curid=106909	21c4125050d9157e9412eb7a6fb7cd16
en-106922	Sarkozy ends French job ban for Eastern Europeans	106922	4279678	https://en.wikinews.org/wiki?curid=106922	49b9d0928507bb002d3d5b0725163b3f
en-106967	First live advert in UK shown on British TV	106967	3362013	https://en.wikinews.org/wiki?curid=106967	8a339f672750369027f44447f36beaec
en-106969	X performs at the TLA in Philadelphia	106969	742394	https://en.wikinews.org/wiki?curid=106969	95c258e4262f7e9884bafd10d665d686
en-106984	Fear and loathing on the campaign trail, May 2008	106984	1492566	https://en.wikinews.org/wiki?curid=106984	e2f41f1bf282de7fece233bf25e1a728
en-106992	Serie A 2008–09: Inter Milan fire Mancini	106992	4285639	https://en.wikinews.org/wiki?curid=106992	f7489bf26eb6f800741d7908fcba913d
en-107015	Wikinews Shorts: May 30, 2008	107015	742389	https://en.wikinews.org/wiki?curid=107015	78ce1f3b56cbc38257a67dde220c542a
en-107017	Ban on cluster bombs adopted by 111 countries	107017	1538302	https://en.wikinews.org/wiki?curid=107017	6a93d3e49f557a37d513aae0c4d4a2c6
en-107049	American comedian Harvey Korman dead at age 81	107049	742406	https://en.wikinews.org/wiki?curid=107049	2928934e347d6135a82576a5a6049064
