docid	position	length	mention	url	lang	qid	qid_in_refs	freq_bin
fa-9772	487	21	تیم روبین کازان روسیه	http://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D8%B4%DA%AF%D8%A7%D9%87_%D9%81%D9%88%D8%AA%D8%A8%D8%A7%D9%84_%D8%B1%D9%88%D8%A8%DB%8C%D9%86_%DA%A9%D8%A7%D8%B2%D8%A7%D9%86	fa	Q170040	True	4
fa-9826	227	8	بارسلونا	http://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D8%B4%DA%AF%D8%A7%D9%87_%D9%81%D9%88%D8%AA%D8%A8%D8%A7%D9%84_%D8%A8%D8%A7%D8%B1%D8%B3%D9%84%D9%88%D9%86%D8%A7	fa	Q7156	True	5
fa-9826	254	11	رئال مادرید	http://fa.wikipedia.org/wiki/%D8%B1%D8%A6%D8%A7%D9%84_%D9%85%D8%A7%D8%AF%D8%B1%DB%8C%D8%AF	fa	Q8682	True	5
fa-9966	81	7	انگلیسی	http://fa.wikipedia.org/wiki/%D8%B2%D8%A8%D8%A7%D9%86_%D8%A7%D9%86%DA%AF%D9%84%DB%8C%D8%B3%DB%8C	fa	Q1860	True	5
fa-66	34	14	آصف علی زرداری	http://fa.wikipedia.org/wiki/%D8%A2%D8%B5%D9%81_%D8%B9%D9%84%DB%8C_%D8%B2%D8%B1%D8%AF%D8%A7%D8%B1%DB%8C	fa	Q57373	True	4
fa-66	55	16	حزب مردم پاکستان	http://fa.wikipedia.org/wiki/%D8%AD%D8%B2%D8%A8_%D9%85%D8%B1%D8%AF%D9%85_%D9%BE%D8%A7%DA%A9%D8%B3%D8%AA%D8%A7%D9%86	fa	Q186591	True	4
fa-68	88	10	شام غریبان	http://fa.wikipedia.org/wiki/%D8%B4%D8%A7%D9%85_%D8%BA%D8%B1%DB%8C%D8%A8%D8%A7%D9%86	fa	Q5623743	False	2
fa-78	328	6	جانباز	http://fa.wikipedia.org/wiki/%D8%AC%D8%A7%D9%86%D8%A8%D8%A7%D8%B2	fa	Q22947771	True	2
fa-78	464	8	لاریجانی	http://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D9%84%D8%A7%D8%B1%DB%8C%D8%AC%D8%A7%D9%86%DB%8C	fa	Q336363	True	3
fa-79	17	8	جان ویلر	http://fa.wikipedia.org/wiki/%D8%AC%D8%A7%D9%86_%D9%88%DB%8C%D9%84%D8%B1	fa	Q202631	True	4
fa-81	35	10	عبدالله گل	http://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87_%DA%AF%D9%84	fa	Q42852	True	4
fa-81	54	12	سرژ سرکیسیان	http://fa.wikipedia.org/wiki/%D8%B3%D8%B1%DA%98_%D8%B3%D8%B1%DA%A9%DB%8C%D8%B3%DB%8C%D8%A7%D9%86	fa	Q612803	True	4
fa-81	79	8	ارمنستان	http://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D9%85%D9%86%D8%B3%D8%AA%D8%A7%D9%86	fa	Q399	True	5
fa-81	176	27	رابطه دیپلماتیک این دو کشور	http://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%A7%D8%A8%D8%B7_%D8%A7%D8%B1%D9%85%D9%86%D8%B3%D8%AA%D8%A7%D9%86_%D9%88_%D8%AA%D8%B1%DA%A9%DB%8C%D9%87	fa	Q2606469	True	2
fa-81	211	4	۱۹۹۱	http://fa.wikipedia.org/wiki/%DB%B1%DB%B9%DB%B9%DB%B1_(%D9%85%DB%8C%D9%84%D8%A7%D8%AF%DB%8C)	fa	Q2062	True	0
fa-81	253	12	کشتار ارامنه	http://fa.wikipedia.org/wiki/%DA%A9%D8%B4%D8%AA%D8%A7%D8%B1_%D8%A7%D8%B1%D8%A7%D9%85%D9%86%D9%87	fa	Q80034	True	5
fa-84	33	8	علی دایی	http://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%AF%D8%A7%DB%8C%DB%8C	fa	Q159622	True	3
fa-84	54	9	مایلی کهن	http://fa.wikipedia.org/wiki/%D9%85%D8%A7%DB%8C%D9%84%DB%8C_%DA%A9%D9%87%D9%86	fa	Q3944278	True	2
fa-85	27	13	نیلوفرهای آبی	http://fa.wikipedia.org/wiki/%D9%86%DB%8C%D9%84%D9%88%D9%81%D8%B1%D9%87%D8%A7%DB%8C_%D8%A2%D8%A8%DB%8C	fa	Q1189907	True	3
fa-85	45	9	کلود مونه	http://fa.wikipedia.org/wiki/%DA%A9%D9%84%D9%88%D8%AF_%D9%85%D9%88%D9%86%D9%87	fa	Q296	True	4
fa-85	84	11	حراج کریستی	http://fa.wikipedia.org/wiki/%D8%AD%D8%B1%D8%A7%D8%AC_%DA%A9%D8%B1%DB%8C%D8%B3%D8%AA%DB%8C	fa	Q503176	True	4
fa-85	96	4	لندن	http://fa.wikipedia.org/wiki/%D9%84%D9%86%D8%AF%D9%86	fa	Q84	True	5
fa-97	166	15	کادیلاک اسکالید	http://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%AF%DB%8C%D9%84%D8%A7%DA%A9_%D8%A7%D8%B3%DA%A9%D8%A7%D9%84%DB%8C%D8%AF	fa	Q830369	True	3
fa-97	894	10	صفحهٔ جشنی	http://fa.wikipedia.org/wiki/%D9%88%DB%8C%DA%A9%DB%8C%E2%80%8C%D9%BE%D8%AF%DB%8C%D8%A7:%D8%AC%D8%B4%D9%86_%DB%B1%DB%B0%DB%B0_%D9%87%D8%B2%D8%A7%D8%B1%D9%85%DB%8C%D9%86_%D9%85%D9%82%D8%A7%D9%84%D9%87	fa	Q21707082	False	0
