docid	position	length	mention	url	lang	qid	qid_in_refs	freq_bin
tr-6	146	19	Türkiye Cumhuriyeti	http://tr.wikipedia.org/wiki/T%C3%BCrkiye	tr	Q43	True	5
tr-6	169	22	Ermenistan Cumhuriyeti	http://tr.wikipedia.org/wiki/Ermenistan	tr	Q399	True	5
tr-7	57	27	Amerika Birleşik Devletleri	http://tr.wikipedia.org/wiki/Amerika_Birle%C5%9Fik_Devletleri	tr	Q30	True	5
tr-7	89	17	Amerikan Kongresi	http://tr.wikipedia.org/wiki/ABD_Kongresi	tr	Q11268	True	5
tr-7	315	9	başörtüsü	http://tr.wikipedia.org/wiki/Ba%C5%9F%C3%B6rt%C3%BCs%C3%BC	tr	Q2002752	True	3
tr-7	504	7	Türkiye	http://tr.wikipedia.org/wiki/T%C3%BCrkiye	tr	Q43	True	5
tr-8	55	7	Türkiye	http://tr.wikipedia.org/wiki/T%C3%BCrkiye	tr	Q43	True	5
tr-8	229	18	Taraf Gazetesi'nin	http://tr.wikipedia.org/wiki/Taraf_(gazete)	tr	Q847922	True	3
tr-8	248	10	12 Haziran	http://tr.wikipedia.org/wiki/12_Haziran	tr	Q2619	True	5
tr-8	259	4	2009	http://tr.wikipedia.org/wiki/2009	tr	Q1996	True	0
tr-8	342	5	andıç	http://tr.wikipedia.org/wiki/And%C4%B1%C3%A7	tr	Q12808504	False	1
tr-8	362	15	Fethullah Gülen	http://tr.wikipedia.org/wiki/Fethullah_G%C3%BClen	tr	Q488200	True	3
tr-8	591	13	Levent Göktaş	http://tr.wikipedia.org/wiki/Mustafa_Levent_G%C3%B6kta%C5%9F	tr	Q12810988	True	1
tr-8	1042	10	15 Haziran	http://tr.wikipedia.org/wiki/15_Haziran	tr	Q2613	True	5
tr-8	1649	11	Cemil Çiçek	http://tr.wikipedia.org/wiki/Cemil_%C3%87i%C3%A7ek	tr	Q202971	True	2
tr-8	1697	15	Barolar Birliği	http://tr.wikipedia.org/wiki/T%C3%BCrkiye_Barolar_Birli%C4%9Fi	tr	Q6104383	True	2
tr-8	1721	12	Özdemir Özok	http://tr.wikipedia.org/wiki/%C3%96zdemir_%C3%96zok	tr	Q6075794	False	1
tr-8	1846	9	Ergenekon	http://tr.wikipedia.org/wiki/Ergenekon_Operasyonu	tr	Q388577	True	3
tr-8	1864	11	Zekariya Öz	http://tr.wikipedia.org/wiki/Zekeriya_%C3%96z	tr	Q6093763	False	2
tr-8	2048	8	Çarşamba	http://tr.wikipedia.org/wiki/17_Haziran	tr	Q2672	True	5
tr-8	2303	12	İlker Başbuğ	http://tr.wikipedia.org/wiki/%C4%B0lker_Ba%C5%9Fbu%C4%9F	tr	Q338148	True	2
tr-9	75	19	Kral Müzik Ödülleri	http://tr.wikipedia.org/wiki/Kral_TV_Video_M%C3%BCzik_%C3%96d%C3%BClleri	tr	Q4980420	True	3
tr-9	101	21	MÜ-YAP Müzik Ödülleri	http://tr.wikipedia.org/wiki/M%C3%9C-YAP_M%C3%BCzik_%C3%96d%C3%BClleri	tr	Q6040883	False	2
tr-9	731	11	Kral TV'nin	http://tr.wikipedia.org/wiki/Kral_TV	tr	Q380399	True	3
tr-9	767	15	Doğuş grubu'nca	http://tr.wikipedia.org/wiki/Do%C4%9Fu%C5%9F_grubu	tr	Q1253703	True	3
tr-9	959	13	Asuman Krause	http://tr.wikipedia.org/wiki/Asuman_Krause	tr	Q99294	True	2
tr-9	976	12	Behsat Uygur	http://tr.wikipedia.org/wiki/Behzat_Uygur	tr	Q6059469	False	2
tr-9	999	38	Lütfi Kırdar Kongre ve Sergi Sarayında	http://tr.wikipedia.org/wiki/L%C3%BCtfi_K%C4%B1rdar_Kongre_ve_Sergi_Saray%C4%B1	tr	Q12810669	True	2
tr-9	1056	13	Müslüm Gürses	http://tr.wikipedia.org/wiki/M%C3%BCsl%C3%BCm_G%C3%BCrses	tr	Q1395064	True	3
