docid	position	length	mention	url	lang	qid	qid_in_refs	freq_bin
ta-2233	46	6	இலங்கை	http://ta.wikipedia.org/wiki/%E0%AE%87%E0%AE%B2%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AF%88	ta	Q854	True	5
ta-2233	69	5	வன்னி	http://ta.wikipedia.org/wiki/%E0%AE%B5%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AE%BF	ta	Q16311518	False	2
ta-2233	89	10	ஈழப்போரின்	http://ta.wikipedia.org/wiki/%E0%AE%88%E0%AE%B4%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AF%8B%E0%AE%B0%E0%AF%8D	ta	Q213394	True	4
ta-2233	422	5	ஈரோஸ்	http://ta.wikipedia.org/wiki/%E0%AE%88%E0%AE%B0%E0%AF%8B%E0%AE%B8%E0%AF%8D	ta	Q3535349	True	2
ta-2233	969	19	விடுதலைப் புலிகளின்	http://ta.wikipedia.org/wiki/%E0%AE%B5%E0%AE%BF%E0%AE%9F%E0%AF%81%E0%AE%A4%E0%AE%B2%E0%AF%88%E0%AE%AA%E0%AF%8D_%E0%AE%AA%E0%AF%81%E0%AE%B2%E0%AE%BF%E0%AE%95%E0%AE%B3%E0%AF%8D	ta	Q80312	True	4
ta-2233	1217	14	முல்லைத்தீவில்	http://ta.wikipedia.org/wiki/%E0%AE%AE%E0%AF%81%E0%AE%B2%E0%AF%8D%E0%AE%B2%E0%AF%88%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%80%E0%AE%B5%E0%AF%81	ta	Q507144	True	3
ta-2233	1376	14	மகிந்த ராசபக்ச	http://ta.wikipedia.org/wiki/%E0%AE%AE%E0%AE%95%E0%AE%BF%E0%AE%A8%E0%AF%8D%E0%AE%A4_%E0%AE%B0%E0%AE%BE%E0%AE%9C%E0%AE%AA%E0%AE%95%E0%AF%8D%E0%AE%9A	ta	Q57338	True	3
ta-2235	103	15	கார்டன் பிரவுன்	http://ta.wikipedia.org/wiki/%E0%AE%95%E0%AE%BE%E0%AE%B0%E0%AF%8D%E0%AE%9F%E0%AE%A9%E0%AF%8D_%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AE%B5%E0%AF%81%E0%AE%A9%E0%AF%8D	ta	Q10648	True	4
ta-2240	59	6	பீகார்	http://ta.wikipedia.org/wiki/%E0%AE%AA%E0%AF%80%E0%AE%95%E0%AE%BE%E0%AE%B0%E0%AF%8D	ta	Q1165	True	5
ta-2240	205	5	பட்னா	http://ta.wikipedia.org/wiki/%E0%AE%AA%E0%AE%9F%E0%AF%8D%E0%AE%A9%E0%AE%BE	ta	Q80484	True	4
ta-2240	373	5	தலித்	http://ta.wikipedia.org/wiki/%E0%AE%A4%E0%AE%B2%E0%AE%BF%E0%AE%A4%E0%AF%8D	ta	Q219517	True	4
ta-2245	184	7	தேர்தல்	http://ta.wikipedia.org/wiki/%E0%AE%87%E0%AE%B2%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AF%88_%E0%AE%A8%E0%AE%BE%E0%AE%9F%E0%AE%BE%E0%AE%B3%E0%AF%81%E0%AE%AE%E0%AE%A9%E0%AF%8D%E0%AE%B1%E0%AE%A4%E0%AF%8D_%E0%AE%A4%E0%AF%87%E0%AE%B0%E0%AF%8D%E0%AE%A4%E0%AE%B2%E0%AF%8D,_2010	ta	Q3399967	True	3
ta-2245	290	14	மகிந்த ராஜபக்ச	http://ta.wikipedia.org/wiki/%E0%AE%AE%E0%AE%95%E0%AE%BF%E0%AE%A8%E0%AF%8D%E0%AE%A4_%E0%AE%B0%E0%AE%BE%E0%AE%9C%E0%AE%AA%E0%AE%95%E0%AF%8D%E0%AE%9A	ta	Q57338	True	3
ta-2245	1668	20	ஐக்கிய தேசியக் கட்சி	http://ta.wikipedia.org/wiki/%E0%AE%90%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BF%E0%AE%AF_%E0%AE%A4%E0%AF%87%E0%AE%9A%E0%AE%BF%E0%AE%AF%E0%AE%95%E0%AF%8D_%E0%AE%95%E0%AE%9F%E0%AF%8D%E0%AE%9A%E0%AE%BF	ta	Q1321770	True	4
ta-2246	69	7	சோவியத்	http://ta.wikipedia.org/wiki/%E0%AE%9A%E0%AF%8B%E0%AE%B5%E0%AE%BF%E0%AE%AF%E0%AE%A4%E0%AF%8D	ta	Q15180	True	5
ta-2246	87	14	கிர்கிஸ்தானில்	http://ta.wikipedia.org/wiki/%E0%AE%95%E0%AE%BF%E0%AE%B0%E0%AF%8D%E0%AE%95%E0%AE%BF%E0%AE%B8%E0%AF%8D%E0%AE%A4%E0%AE%BE%E0%AE%A9%E0%AF%8D	ta	Q813	True	5
ta-2246	1160	17	ஆப்கானிஸ்தானுக்கு	http://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%AA%E0%AF%8D%E0%AE%95%E0%AE%BE%E0%AE%A9%E0%AE%BF%E0%AE%B8%E0%AF%8D%E0%AE%A4%E0%AE%BE%E0%AE%A9%E0%AF%8D	ta	Q889	True	5
ta-2246	1215	16	ஐக்கிய அமெரிக்கா	http://ta.wikipedia.org/wiki/%E0%AE%90%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BF%E0%AE%AF_%E0%AE%85%E0%AE%AE%E0%AF%86%E0%AE%B0%E0%AE%BF%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BE	ta	Q30	True	5
ta-2250	57	10	பிரேசிலின்	http://ta.wikipedia.org/wiki/%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AF%87%E0%AE%9A%E0%AE%BF%E0%AE%B2%E0%AF%8D	ta	Q155	True	5
ta-2250	91	18	ரியோ டி செனிரோவில்	http://ta.wikipedia.org/wiki/%E0%AE%B0%E0%AE%BF%E0%AE%AF%E0%AF%8B_%E0%AE%9F%E0%AE%BF_%E0%AE%9C%E0%AE%A9%E0%AF%87%E0%AE%B0%E0%AF%8B	ta	Q8678	True	5
ta-2258	145	5	வன்னி	http://ta.wikipedia.org/wiki/%E0%AE%B5%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AE%BF	ta	Q16311518	False	2
ta-2258	152	12	மட்டக்களப்பு	http://ta.wikipedia.org/wiki/%E0%AE%AE%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%B3%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AF%81	ta	Q810963	True	3
ta-2258	174	7	அம்பாறை	http://ta.wikipedia.org/wiki/%E0%AE%85%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%B1%E0%AF%88	ta	Q696444	True	3
