docid	title	curid	revid	url	text_md5
ar-38494	تعرف على معنى أن تكون أوروبيًا من مجرد رحلة	38494	136402	https://ar.wikinews.org/wiki?curid=38494	ef9d0ea997cc5aae61710c2d1a51dd61
ar-38496	العراقيون يسافرون إلى الموصل للاحتفال بعيد الفطر تضامنًا مع أهله	38496	135779	https://ar.wikinews.org/wiki?curid=38496	b2b25ae8c97163604444998013dbdbfe
ar-38501	سوريا: عيد ميلاد سعيد بشار؟	38501	136909	https://ar.wikinews.org/wiki?curid=38501	7fcb0b207ff40d9c94e6187d5e2a3fca
ar-38502	إيران: نساء يقلن لا لوحش الحرب	38502	134972	https://ar.wikinews.org/wiki?curid=38502	1986b3d82e8084998eec6c5204eff7dc
ar-38517	إيران: موجه جديدة من القمع ضد المدونيين	38517	134967	https://ar.wikinews.org/wiki?curid=38517	6ccf4080a3ae30495d288558642ab295
ar-38524	إيران: هل الدولة خائفة من فتاة تبلغ الثالثة عشرة؟	38524	134979	https://ar.wikinews.org/wiki?curid=38524	72f731516cf0b1de1ec7ffbd9e6b20bd
ar-38532	المكسيك: قصص الأبطال، رسم خريطة لعمل الخير	38532	135968	https://ar.wikinews.org/wiki?curid=38532	8b5f84558f8f0e139478bb01d7a48947
ar-38545	السعودية تعد بالتوقف عن استخدام القنابل العنقودية بريطانية الصنع في اليمن	38545	135449	https://ar.wikinews.org/wiki?curid=38545	45d5e97999053b8c8a294ee8507c0842
ar-38546	مليار قصة عن الصين	38546	138240	https://ar.wikinews.org/wiki?curid=38546	e82289a73aa3da72a12b0c04095280e3
ar-38586	اليمن: قتيل وعدة جرحى في تظاهرات تعز	38586	136100	https://ar.wikinews.org/wiki?curid=38586	870940f49ed5820759b2fb2217961a59
ar-38596	مخطط معلومات بياني: السعي لتحقيق السعادة في أفريقيا	38596	137779	https://ar.wikinews.org/wiki?curid=38596	3ed0ead7599124a4064a411d3f74ee08
ar-37967	البرازيل تودع أوسكار نيماير، ثائر عمارة الحداثة	37967	135290	https://ar.wikinews.org/wiki?curid=37967	a7af7999fcd281170116131b814dc92d
ar-37986	سوريا: اعتقال رسام كاريكاتير بعد انتقاده الأسد	37986	136836	https://ar.wikinews.org/wiki?curid=37986	18f8918cfdc7098d119362e28c47b490
ar-37998	عازف ترومبيت لبناني-فرنسي يُترجم “أليس في بلاد العجائب” إلى أوبرا هيب هوب	37998	137056	https://ar.wikinews.org/wiki?curid=37998	345daa33766cf70a9a77537f8b3d6dad
ar-38006	كمبوديا: أغانٍ عن فيسبوك	38006	137423	https://ar.wikinews.org/wiki?curid=38006	7adfd3f2ec03a6675f9f8d18c058b9ed
ar-38015	تأجيل النطق في قضية ناشطة موريتانية مناهضة للعبودية	38015	144422	https://ar.wikinews.org/wiki?curid=38015	311ba114710b3c9afb6b31cbb5a7794f
ar-38064	أفريقيا: الحكايات الأفريقية بصوت أفريقي	38064	134612	https://ar.wikinews.org/wiki?curid=38064	3b5e30e99873d9137f332b82700b8b26
ar-38067	هذا التطبيق يتيح لك معرفة قصص المدينة من سكانها	38067	138444	https://ar.wikinews.org/wiki?curid=38067	f989384680d0789da3a9337fb8e1d543
ar-38076	زنابق لالاديس البريّة في خيوس تَأذَن بقدوم الربيع إلى الجزيرة اليونانية	38076	136764	https://ar.wikinews.org/wiki?curid=38076	40d4c53a3491de19faca632e55238cfb
ar-38090	المكسيك: محاربة أزمة المياه بتسلق الجبال	38090	135970	https://ar.wikinews.org/wiki?curid=38090	0dbbcc941786b1f2b3e7c3c076dc1eec
ar-38096	نزول الألتراس يدفع الشرطة للتراجع مع استمرار معركة التحرير	38096	138402	https://ar.wikinews.org/wiki?curid=38096	19158c1457f9f59defdf23011ee92b2e
ar-38099	تيمور الشرقية: الاستثمار في الإبداع والثقافة	38099	136496	https://ar.wikinews.org/wiki?curid=38099	2b13130e17bf1c50385e76fe4e695a61
ar-38106	وجوه الأصوات العالمية: علاء عبد الفتاح ومريم الخواجة، عن السجن والإضراب عن الطعام والنشاط السياسي في مصر والبحرين	38106	138521	https://ar.wikinews.org/wiki?curid=38106	5e04d96e2fc080fac76d50f782412a3f
ar-38120	إطلاق سراح رئيس الطلبة الإيراني البارز مجید توکلی بكفالة	38120	134774	https://ar.wikinews.org/wiki?curid=38120	cb10381eab79020c05ed0aa175c0811c
ar-38126	امرأة تكتب قصيدة للاجئين السوريين – بمن فيهم ابن عمها الذي توفي أثناء عبور المتوسط	38126	136125	https://ar.wikinews.org/wiki?curid=38126	a781a36d22a89e72213ba5d92eb8587a
ar-11589	أحداث يوم الأربعاء 30/3/2011 م من الاحتجاجات السورية 2011	11589	26052	https://ar.wikinews.org/wiki?curid=11589	7542f5d81c3c91bb1e137edba72e4fa2
ar-11590	أحداث يوم الأربعاء 4/5/2011 م من الاحتجاجات السورية 2011	11590	130171	https://ar.wikinews.org/wiki?curid=11590	99089b6f4d661d787fd9b8dde752cdd5
ar-11591	أحداث يوم الأربعاء 6/4/2011 م من الاحتجاجات السورية 2011	11591	26057	https://ar.wikinews.org/wiki?curid=11591	90abe17f275526d8e37836368866f879
ar-11592	أحداث يوم الإثنين 11/4/2011 م من الاحتجاجات السورية 2011	11592	29447	https://ar.wikinews.org/wiki?curid=11592	e8898f12de3b0f50378617e0317f6fac
ar-11595	أحداث يوم الإثنين 18/4/2011 م من الاحتجاجات السورية 2011	11595	26066	https://ar.wikinews.org/wiki?curid=11595	9c727dcd87f889c3f7f60c725d440c97
