docid	title	curid	revid	url	text_md5
fa-9772	مهدوی‌کیا و پولادی با پرسپولیس به توافق رسیدند	9772	131601	https://fa.wikinews.org/wiki?curid=9772	d5d29b06e30f47b09646ae865f390269
fa-9826	شکست رئال مادرید در ال کلاسیکو	9826	221285	https://fa.wikinews.org/wiki?curid=9826	92c412f723d49193550bf122d62cf96c
fa-9966	هیسپان تی‌وی بطور رسمی افتتاح شد	9966	165168	https://fa.wikinews.org/wiki?curid=9966	671dabce11103314d304e204a76037d3
fa-66	آصف زرداری رئیس جمهور پاکستان شد	66	240614	https://fa.wikinews.org/wiki?curid=66	036cff4774462203c07718abfea06ca2
fa-68	انفجار نارنجک در تربت جام	68	240622	https://fa.wikinews.org/wiki?curid=68	462b880df57dae5e66eb8c80ba8b7c7d
fa-78	خودسوزی مقابل مجلس	78	240640	https://fa.wikinews.org/wiki?curid=78	5b49cae826938b259385cf70b331e657
fa-79	درگذشت جان ویلر	79	240642	https://fa.wikinews.org/wiki?curid=79	4e0ee2350fb65f0fb3012ec62146eee8
fa-81	رئیس جمهور ترکیه وارد ارمنستان شد	81	240645	https://fa.wikinews.org/wiki?curid=81	7c55a838b6192192e5efedd55e2388d3
fa-84	ضدحمله علی دایی علیه مایلی کهن!	84	247882	https://fa.wikinews.org/wiki?curid=84	2e4e8bd41dc32a72f07bb5689372c031
fa-85	فروش اثر کلود مونه	85	240662	https://fa.wikinews.org/wiki?curid=85	93144591a20cc0db53a6c6ec420a84d5
fa-97	ویکی‌پدیای فارسی از مرز صدهزار مقاله گذشت	97	247875	https://fa.wikinews.org/wiki?curid=97	93b082989a5702d64cfeea6bf2c7505b
fa-777	بنوا مندلبرو درگذشت	777	240627	https://fa.wikinews.org/wiki?curid=777	e07c3d36ca9c1cefcaf96d5d7808baf0
fa-966	نتایج اولیه انتخابات پارلمانی افغانستان اعلام شد	966	31063	https://fa.wikinews.org/wiki?curid=966	72b9d9289084c40a86790c484c4aa9b0
fa-973	محاکمه سرباز ایالات متحده در دادگاه نظامی به دلیل قتل غیرنظامیان افغان	973	240665	https://fa.wikinews.org/wiki?curid=973	6309f5a18682f7f4caa46a3bcfdd1be5
fa-1019	حمله مرگبار در جنوب فیلیپین	1019	240638	https://fa.wikinews.org/wiki?curid=1019	f442585363bf37390ea74e5ab50b3a6a
fa-1325	مرگ پیرترین امیر دنیا و تنش بر سر جانشینی	1325	97350	https://fa.wikinews.org/wiki?curid=1325	3b3ac2b9ab6b280717030fc3dfe6469a
fa-1388	احمدی‌نژاد قدرتمندترین رئیس‌جمهور جهان	1388	30562	https://fa.wikinews.org/wiki?curid=1388	27043f10d6b154f148b4cd340e0da936
fa-1394	دانشگاه علوم پزشکی ایران منحل شد	1394	31039	https://fa.wikinews.org/wiki?curid=1394	2a4d1321df5efd0559412a1ad665b05f
fa-1444	ویکی‌لیکس: به افشای تخلفات آمریكا ادامه می‌دهیم	1444	81690	https://fa.wikinews.org/wiki?curid=1444	c003ab1dbddf2f622a2f4ba71168607d
fa-1731	آغاز رسمی بازی‌های آسیایی ۲۰۱۰	1731	30546	https://fa.wikinews.org/wiki?curid=1731	7c76f8cafa4b119f770ae942aff0957e
fa-1732	سازمان ملل: کره شمالی به ایران، سوریه و میانمار تجهیزات هسته‌ای ارسال کرده است	1732	30668	https://fa.wikinews.org/wiki?curid=1732	93639ce072c63261ae9d403a21ee89f7
fa-1814	دایملر معاملات خود با ایران را متوقف کرد	1814	31040	https://fa.wikinews.org/wiki?curid=1814	99b9b9779056f272dd780c2565b8a2b8
