docid	position	length	mention	url	lang	qid	qid_in_refs	freq_bin
ar-38494	1208	6	يوتيوب	http://ar.wikipedia.org/wiki/%D9%8A%D9%88%D8%AA%D9%8A%D9%88%D8%A8	ar	Q866	True	5
ar-38496	2474	6	يوتيوب	http://ar.wikipedia.org/wiki/%D9%8A%D9%88%D8%AA%D9%8A%D9%88%D8%A8	ar	Q866	True	5
ar-38496	2671	6	يوتيوب	http://ar.wikipedia.org/wiki/%D9%8A%D9%88%D8%AA%D9%8A%D9%88%D8%A8	ar	Q866	True	5
ar-38496	2782	6	يوتيوب	http://ar.wikipedia.org/wiki/%D9%8A%D9%88%D8%AA%D9%8A%D9%88%D8%A8	ar	Q866	True	5
ar-38501	1676	6	يوتيوب	http://ar.wikipedia.org/wiki/%D9%8A%D9%88%D8%AA%D9%8A%D9%88%D8%A8	ar	Q866	True	5
ar-38502	1511	6	يوتيوب	http://ar.wikipedia.org/wiki/%D9%8A%D9%88%D8%AA%D9%8A%D9%88%D8%A8	ar	Q866	True	5
ar-38502	1575	6	يوتيوب	http://ar.wikipedia.org/wiki/%D9%8A%D9%88%D8%AA%D9%8A%D9%88%D8%A8	ar	Q866	True	5
ar-38502	1638	6	يوتيوب	http://ar.wikipedia.org/wiki/%D9%8A%D9%88%D8%AA%D9%8A%D9%88%D8%A8	ar	Q866	True	5
ar-38517	1965	6	يوتيوب	http://ar.wikipedia.org/wiki/%D9%8A%D9%88%D8%AA%D9%8A%D9%88%D8%A8	ar	Q866	True	5
ar-38524	1710	6	يوتيوب	http://ar.wikipedia.org/wiki/%D9%8A%D9%88%D8%AA%D9%8A%D9%88%D8%A8	ar	Q866	True	5
ar-38532	837	6	يوتيوب	http://ar.wikipedia.org/wiki/%D9%8A%D9%88%D8%AA%D9%8A%D9%88%D8%A8	ar	Q866	True	5
ar-38545	1916	6	يوتيوب	http://ar.wikipedia.org/wiki/%D9%8A%D9%88%D8%AA%D9%8A%D9%88%D8%A8	ar	Q866	True	5
ar-38546	815	6	يوتيوب	http://ar.wikipedia.org/wiki/%D9%8A%D9%88%D8%AA%D9%8A%D9%88%D8%A8	ar	Q866	True	5
ar-38586	533	6	يوتيوب	http://ar.wikipedia.org/wiki/%D9%8A%D9%88%D8%AA%D9%8A%D9%88%D8%A8	ar	Q866	True	5
