docid	title	curid	revid	url	text_md5
tr-6	"""ABD uzlaşma taraftarı"""	6	73310	https://tr.wikinews.org/wiki?curid=6	6bce1068ddeda5f51ea8a340e70d3bb9
tr-7	"""Türkiye'de dini özgürlüklere ilişkin problemler arttı"""	7	26411	https://tr.wikinews.org/wiki?curid=7	b6a86feac9ea50e6bdccb5d082c62f6c
tr-8	"""İrtica ile Mücadele Eylem Planı"" ortalığı karıştırdı"	8	26413	https://tr.wikinews.org/wiki?curid=8	6b20501e48367da00eb2e81a6aa02e8d
tr-9	15. Kral Müzik Ödülleri ve 7. MÜ-YAP Müzik Ödülleri sahiplerini buldu	9	8821	https://tr.wikinews.org/wiki?curid=9	daf16c9ce60cf26787df71c57a91546b
tr-10	2009 FIFA Konfederasyonlar Kupası Brezilya'nın	10	8822	https://tr.wikinews.org/wiki?curid=10	64b5652c4e43909e91fd24396bb84b3a
tr-11	2009 Türkiye Grand Prix'sini Jenson Button kazandı	11	14477	https://tr.wikinews.org/wiki?curid=11	c0fca1c2ee01b18ea65a23d7015c8d5a
tr-12	23 Nisan Çocuk Bayramı KKTC'de kutlandı	12	8824	https://tr.wikinews.org/wiki?curid=12	2b54872865eeb3ae212098a712d5133e
tr-13	ABD'den, İran'a maç teklifi	13	8825	https://tr.wikinews.org/wiki?curid=13	64845e4eb9a15b7ece77919771c8678e
tr-14	ABD, Musul'dan çekiliyor	14	8826	https://tr.wikinews.org/wiki?curid=14	d8c02042f71adb6ecee5364e7ffcd36d
tr-15	Abdüllatif Şener, Türkiye Partisi'ni kurdu	15	26414	https://tr.wikinews.org/wiki?curid=15	c82abfcefb7e312cd8f94ab98aa8aaaf
tr-17	Ahmedinejad ikinci kez İran Cumhurbaşkanlığına seçildi	17	72989	https://tr.wikinews.org/wiki?curid=17	30bd99e6273c0cdb2b95b73bfe5606da
tr-18	Air France'ın düşen uçağının kalıntıları bulundu	18	8833	https://tr.wikinews.org/wiki?curid=18	c25b123d73c6e0ac21772624377d7722
tr-19	Akman'ın RTÜK üyeliği devam ediyor	19	73003	https://tr.wikinews.org/wiki?curid=19	c021c55576a38fe6bf0af9a7ade945fd
tr-20	Aliyev ile Sarkisyan Prag'da görüştüler	20	8835	https://tr.wikinews.org/wiki?curid=20	5e9505a83195659a2166dfa05319ad64
tr-21	Almanya'da Cumhurbaşkanlığı seçimi	21	8837	https://tr.wikinews.org/wiki?curid=21	529ca1ef5a6a7f0355fa9da76a17f8e1
