docid	title	curid	revid	url	text_md5
es-55686	Alumnos de un colegio de Lérida usaron pelotas de goma de la Policía Nacional para jugar en el recreo	55686	613585	https://es.wikinews.org/wiki?curid=55686	a6101e5a7c2e958b2b8d81c481abeb07
es-55692	Corea del Norte lanza un nuevo misil balístico	55692	613586	https://es.wikinews.org/wiki?curid=55692	641ffed31aa05868ab44a04b04d76807
es-55693	Brasil otorgó 12 mil permisos de trabajo a extranjeros entre enero y junio	55693	613587	https://es.wikinews.org/wiki?curid=55693	36e57160d2779d12a27ecfbd20c5ea70
es-55698	El exgeneral bosniocroata Slobodan Praljak se suicida con veneno tras escuchar su condena por crímenes de guerra	55698	613588	https://es.wikinews.org/wiki?curid=55698	929ac378a3deaeff9acaddb4cadfb6f1
es-55699	Condenan a Alfredo Astiz y Jorge Acosta a prisión perpetua por la megacausa ESMA	55699	613589	https://es.wikinews.org/wiki?curid=55699	f8e0a0a2f37c919d55271cd63e8552c6
es-55700	Al menos 37 personas heridas, dos de ellas graves, por el descarrilamiento de un tren durante un viaje entre Sevilla y Málaga	55700	613590	https://es.wikinews.org/wiki?curid=55700	720934014752cabfad6fd3b68a2a1b0b
es-55705	El Constitucional de Bolivia permite a Evo Morales buscar su cuarto mandato	55705	613591	https://es.wikinews.org/wiki?curid=55705	59f127082723549247013ac2661e9ba9
es-55706	Critican a Donald Trump por retuitear videos antimusulmanes	55706	613592	https://es.wikinews.org/wiki?curid=55706	5aa23ed3365edb3787f55ca0141fe30c
es-55708	Nicolás Maduro buscará la reelección en 2018	55708	613593	https://es.wikinews.org/wiki?curid=55708	bbadc7c7a29bda4f968c0dc6fc5212b6
es-55709	Argentina da por muertos a los 44 tripulantes del submarino; finalizan búsqueda de sobrevivientes	55709	613594	https://es.wikinews.org/wiki?curid=55709	e733c38f43e869af9f573361b73de79e
es-55712	Michael Flynn, exasesor de seguridad de Trump, se declara culpable de mentir al FBI	55712	613595	https://es.wikinews.org/wiki?curid=55712	ef8f24936cc5bad1dd50bc8690b5b86a
es-55715	Decretan estado de excepción en Honduras por los disturbios en medio de la crisis electoral	55715	613596	https://es.wikinews.org/wiki?curid=55715	ed0678f4adac0574db0572691022949d
