docid	title	curid	revid	url	text_md5
ja-6153	日本将棋連盟、プロ編入制度創設	6153	72085	https://ja.wikinews.org/wiki?curid=6153	2eb93187326827c2f8821655f0718a7d
ja-6154	九州南部が梅雨入り、東日本・西日本では日照不足―2006梅雨	6154	27808	https://ja.wikinews.org/wiki?curid=6154	5ec372c686f794bbd11db2b9016df564
ja-6160	インドネシア・ジャワ島中部でM6.2の地震、死者1000人超	6160	137856	https://ja.wikinews.org/wiki?curid=6160	a0e449db78eace8a053090c1bceca418
ja-6161	訃報 山本英一郎氏	6161	39774	https://ja.wikinews.org/wiki?curid=6161	88892ebe51f08330e6f6c5b470fd9c44
ja-6163	ジャワ島中部地震、死者3,000人超す	6163	27946	https://ja.wikinews.org/wiki?curid=6163	5404692ad5717a2496b3db404aa70c4f
ja-6167	ジャワ島中部地震の募金受付を開始	6167	38032	https://ja.wikinews.org/wiki?curid=6167	7cd6bb2e25979941f4c81aa4ef330c93
ja-6168	ジャワ島中部地震の犠牲者、5,000人を超える	6168	95146	https://ja.wikinews.org/wiki?curid=6168	d22635ba520542fd7ee2aa5f032bb833
ja-6171	滋賀県栗東市で新幹線新駅の着工式	6171	27941	https://ja.wikinews.org/wiki?curid=6171	96e4197362997f3856840717cfe61acb
ja-6181	コロンビア大統領選で、ウリベ氏再選	6181	153523	https://ja.wikinews.org/wiki?curid=6181	99a748717010cac0c08303ab31e2adb1
ja-6182	訃報 岡田眞澄氏	6182	39712	https://ja.wikinews.org/wiki?curid=6182	98b5767b633ecf7b53990a2542481baf
ja-6183	訃報 米原万里さん	6183	39777	https://ja.wikinews.org/wiki?curid=6183	7e1a896f344d4fbe2ff61e8ca098925e
ja-6232	ミツバチの大群襲来、2日連続で電車が止まる―奈良県JR高田駅	6232	128846	https://ja.wikinews.org/wiki?curid=6232	8545894fea2fdf6720978d72f7f70a4e
ja-6238	韓国と北朝鮮、金大中元大統領の訪朝を検討	6238	28226	https://ja.wikinews.org/wiki?curid=6238	94265a51a9cd9c0be573b58c0a8cccc0
ja-6239	バリー・ボンズ選手、大リーグ史上2位の715ホームラン	6239	106740	https://ja.wikinews.org/wiki?curid=6239	7ea1e597a248b318c9340a770b1b36ca
ja-6240	チリで高校生が政府の支援求めスト、学校を占拠	6240	128635	https://ja.wikinews.org/wiki?curid=6240	e3737609360888ad34beef897a224b54
ja-6246	「非常に強く懸念」コロンビアの武力衝突でUNHCRが警告	6246	128748	https://ja.wikinews.org/wiki?curid=6246	f8fe1a5a506b6e42c7718497c86399d1
ja-6289	訃報 今村昌平氏	6289	39700	https://ja.wikinews.org/wiki?curid=6289	76ae7e14354a8028a454f97099a0b00f
ja-6293	ジャワ中部地震の犠牲者が6,000人を超える	6293	29279	https://ja.wikinews.org/wiki?curid=6293	b943903922faf05de9bab771e468f852
ja-6294	改正道路交通法が6月1日に施行	6294	28685	https://ja.wikinews.org/wiki?curid=6294	b03f6606e0f0c39b08d11d895ccd222c
ja-6295	阪急ホールディングス、阪神電鉄の株式公開買い付け実施	6295	28796	https://ja.wikinews.org/wiki?curid=6295	9c9ea3f6c7bd4342d5b1ca4a247a2e81
ja-6299	2005年日本の出生率、過去最低の1.25に	6299	51444	https://ja.wikinews.org/wiki?curid=6299	bb49e79367145552d2141863cb38ef5a
ja-6306	2010年までにすべての患者に治療を—国連エイズ特別総会	6306	29278	https://ja.wikinews.org/wiki?curid=6306	b89eedb5abe459cddf7f5858a66d6a96
ja-6311	村上ファンド、阪神電鉄株TOBに応じる方針	6311	28783	https://ja.wikinews.org/wiki?curid=6311	25f66c4e332e04247f7b57aae48ab944
ja-6314	モンテネグロ共和国、セルビア・モンテネグロからの独立を宣言	6314	128656	https://ja.wikinews.org/wiki?curid=6314	0849988dda415782a941655281a6a546
ja-6315	エレベーターに高2男子挟まれ圧死、東京都港区のマンション	6315	28824	https://ja.wikinews.org/wiki?curid=6315	2014c842782e557fe989876989a79e58
ja-6317	秋田の小学生殺害事件、近所の女性を死体遺棄で逮捕	6317	105373	https://ja.wikinews.org/wiki?curid=6317	aa4cc7868403a6742e82004c68a41756
ja-6326	ぺルー大統領選、ガルシア元大統領が逆転当確	6326	153526	https://ja.wikinews.org/wiki?curid=6326	c759ef3bc3018e3cbbeda3955ffe607f
ja-6328	フジテレビ、格闘技「PRIDE」の放送を打ち切る	6328	86267	https://ja.wikinews.org/wiki?curid=6328	bc98fcedb742203dfdd5cda38e477454
ja-6331	村上ファンド代表、インサイダー取引で逮捕	6331	29001	https://ja.wikinews.org/wiki?curid=6331	8b9cfd6fd9134784c81b19fad2628708
ja-6334	民間駐車監視員に暴行	6334	28915	https://ja.wikinews.org/wiki?curid=6334	1eb61bb5cd778e4e1c9b9dc902ead6b8
ja-6345	イスラム勢力が首都モガディシュの大部分を制圧―ソマリア	6345	128758	https://ja.wikinews.org/wiki?curid=6345	d3b66932fc8fbdb450b2465871f98285
ja-6381	セルビアも独立を宣言	6381	155252	https://ja.wikinews.org/wiki?curid=6381	2e36ba6b43657ec6776211208c5ede37
ja-6383	改正公職選挙法が成立、選挙区選の在外投票が可能に	6383	28980	https://ja.wikinews.org/wiki?curid=6383	bf48b61db1191bc84522528e3c25d590
ja-6384	地方6団体が12年ぶり2度目となる意見書を提出	6384	31995	https://ja.wikinews.org/wiki?curid=6384	9505da10f58704da629836ffd7658eec
ja-6385	秋田新幹線に初の女性車掌	6385	85750	https://ja.wikinews.org/wiki?curid=6385	4e7e300d88dd0088125125583e311b0f
ja-6387	米上院、同性婚を禁ずる憲法改正案否決	6387	128921	https://ja.wikinews.org/wiki?curid=6387	30959a36f605a0e3d8c7807355e29313
ja-6388	和田氏の芸術選奨受賞を取り消す	6388	29060	https://ja.wikinews.org/wiki?curid=6388	42ced5870645021a108dfddbfdeff221
ja-6391	九州北部・四国・中国・近畿・東海・関東甲信・東北南部の各地方が梅雨入り―2006梅雨	6391	29052	https://ja.wikinews.org/wiki?curid=6391	cd347028d52f6f4bc21531ed6f38984b
ja-6396	大阪ドームのオリックスへの売却正式に決まる	6396	44324	https://ja.wikinews.org/wiki?curid=6396	9cd2391b45f8cbc34cf786fcc1031bfc
ja-6400	マイクロソフト、ウィンドウズ98とMeのサポートを打ち切りへ	6400	29232	https://ja.wikinews.org/wiki?curid=6400	8d46f4a0afd164c1b4f5688f005c2f20
ja-6416	ドイツで「ソーセージ殺人」容疑の男、逮捕	6416	29244	https://ja.wikinews.org/wiki?curid=6416	d136c589f97430891f39eee31b2caed7
ja-6417	タイのプミポン国王が即位60年	6417	128789	https://ja.wikinews.org/wiki?curid=6417	fcb8dab6dba36b4b6bc6474ffa5e3033
ja-6419	2006FIFAワールドカップサッカー選手権ドイツ大会開幕	6419	137892	https://ja.wikinews.org/wiki?curid=6419	c6c3ae116176fd217b613d8fc54c4bdd
ja-6423	九州、四国、中国地方で震度5弱の地震	6423	128865	https://ja.wikinews.org/wiki?curid=6423	c661a24f1904faff9a80c502183636ac
ja-6429	メキシコ湾で熱帯性暴風「アルベルト」が発生	6429	128848	https://ja.wikinews.org/wiki?curid=6429	7a1e4c8af428980f98f2aef401e675ac
ja-6430	ニュージーランド南部で大雪、クライストチャーチ空港閉鎖	6430	128643	https://ja.wikinews.org/wiki?curid=6430	db24b6491c19dfe0c2e1f799103e5271
ja-6433	桜島の昭和火口の活動が60年ぶりに活発化	6433	29373	https://ja.wikinews.org/wiki?curid=6433	fe4a1841d98b5931ef5e6ce1c9398ab4
ja-6439	サムライブルー、オーストラリアに1-3で逆転負け	6439	34568	https://ja.wikinews.org/wiki?curid=6439	fe16b8d380be65e834d1df4fa164b769
ja-6442	"KDDIが運営するプロバイダ ""DION"" 個人情報が大量に流出"	6442	59592	https://ja.wikinews.org/wiki?curid=6442	57cce758e1707dc99d5913e28f7f5e73
ja-6443	ネパール、国王の法案拒否権を剥奪、儀礼的な存在に	6443	52639	https://ja.wikinews.org/wiki?curid=6443	120fcdf31f817c01bd2f7c018e3fea47
ja-6448	訃報 岩城宏之氏	6448	99355	https://ja.wikinews.org/wiki?curid=6448	4c6d0fcb6e044d598292e3429a2d5b17
ja-6449	ぷらら、Winny通信の遮断を利用者による選択式とすると発表	6449	29271	https://ja.wikinews.org/wiki?curid=6449	82109b9592f8c94fc99b44459337e775
ja-6450	アルベルト、米国東海岸沿いを北上、熱帯低気圧に	6450	29625	https://ja.wikinews.org/wiki?curid=6450	058f6277a3754622d4fed1d431f2c29b
ja-6452	北陸と東北北部も梅雨入り―2006梅雨	6452	72649	https://ja.wikinews.org/wiki?curid=6452	1894a60aec4876b98294d7d5e5b5c666
ja-6453	日本政府、モンテネグロを国家として承認	6453	29363	https://ja.wikinews.org/wiki?curid=6453	089f2422d46f99acddccda55b439f314
ja-6454	ビル・ゲイツ氏、2008年7月にマイクロソフトから退く	6454	49337	https://ja.wikinews.org/wiki?curid=6454	b613e2184690391865e30199e124a475
ja-6460	マリナーズ・イチロー選手 現役通算2500安打達成	6460	29431	https://ja.wikinews.org/wiki?curid=6460	89d49adc1421b42a228dfc9da4f2c36c
ja-6463	2006ワールドカップサッカー選手権 ドイツ、エクアドル、イングランドが決勝ラウンド進出	6463	29357	https://ja.wikinews.org/wiki?curid=6463	c2fa6037044be148fb95ba83f6004169
ja-6466	北海道夕張市、再建団体へ申請	6466	31994	https://ja.wikinews.org/wiki?curid=6466	46f084f4fae9fcf829daef57aaf2f05e
ja-6478	訃報 宿沢広朗氏	6478	39731	https://ja.wikinews.org/wiki?curid=6478	0bf56922e82fb1a9215a675da838ec7d
ja-6491	マイクロソフトフランス法人のサイトが改竄される	6491	35661	https://ja.wikinews.org/wiki?curid=6491	fe2e2708180705f19fc83d7ad54b5c7d
ja-6512	奈良の住宅火災、16歳少年が放火を認め逮捕	6512	81708	https://ja.wikinews.org/wiki?curid=6512	fc03e8c86fabbc1d443b33ead1d0648c
ja-6514	千葉ロッテが2連覇、東京ヤクルトは同率優勝逃す―2006年セ・パ交流戦	6514	155165	https://ja.wikinews.org/wiki?curid=6514	a7d55d312d57bd095fce325b39ed6895
ja-6519	2006FIFAワールドカップグループF、日本は1-4でブラジルに逆転負け	6519	155164	https://ja.wikinews.org/wiki?curid=6519	7a624371f1683b5e78d158be89934596
ja-6520	日本の財政赤字、2006年3月末で827兆円	6520	155166	https://ja.wikinews.org/wiki?curid=6520	e8dd3509adb85b420f5b4cd0734aeaed
ja-6521	訃報 二十山親方(元・北天佑関)	6521	39752	https://ja.wikinews.org/wiki?curid=6521	72b0297b4062d7e782a068167f0c2579
ja-6558	2006FIFAワールドカップの決勝トーナメント進出国決定、アジア勢は全て敗退	6558	29777	https://ja.wikinews.org/wiki?curid=6558	3aadc9cbf33b505b1dc6dd471ffa7b7f
ja-6560	サッカー日本代表新監督問題、オシム氏と交渉を認める	6560	30434	https://ja.wikinews.org/wiki?curid=6560	4eb2287c0542f5b97ada93d0f4ff854e
ja-6563	フィリピンで、死刑制度が廃止に	6563	78531	https://ja.wikinews.org/wiki?curid=6563	9e0f49faf2c75fc2ce7a86a89b47db7a
