docid	position	length	mention	url	lang	qid	qid_in_refs	freq_bin
ja-6153	31	6	日本将棋連盟	http://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E5%B0%86%E6%A3%8B%E9%80%A3%E7%9B%9F	ja	Q2813313	True	3
ja-6153	47	3	渋谷区	http://ja.wikipedia.org/wiki/%E6%B8%8B%E8%B0%B7%E5%8C%BA	ja	Q193638	True	4
ja-6153	94	7	新進棋士奨励会	http://ja.wikipedia.org/wiki/%E6%96%B0%E9%80%B2%E6%A3%8B%E5%A3%AB%E5%A5%A8%E5%8A%B1%E4%BC%9A	ja	Q12680196	False	3
ja-6153	202	4	女流棋士	http://ja.wikipedia.org/wiki/%E5%A5%B3%E6%B5%81%E6%A3%8B%E5%A3%AB_(%E5%B0%86%E6%A3%8B)	ja	Q11446505	False	3
ja-6153	210	2	棋士	http://ja.wikipedia.org/wiki/%E6%A3%8B%E5%A3%AB_(%E5%B0%86%E6%A3%8B)	ja	Q11538947	True	4
ja-6154	63	3	宮崎県	http://ja.wikipedia.org/wiki/%E5%AE%AE%E5%B4%8E%E7%9C%8C	ja	Q130300	True	4
ja-6154	67	4	鹿児島県	http://ja.wikipedia.org/wiki/%E9%B9%BF%E5%85%90%E5%B3%B6%E7%9C%8C	ja	Q15701	True	5
ja-6154	72	3	種子島	http://ja.wikipedia.org/wiki/%E7%A8%AE%E5%AD%90%E5%B3%B6	ja	Q696228	True	4
ja-6154	76	3	屋久島	http://ja.wikipedia.org/wiki/%E5%B1%8B%E4%B9%85%E5%B3%B6	ja	Q242176	True	4
ja-6154	102	3	気象庁	http://ja.wikipedia.org/wiki/%E6%B0%97%E8%B1%A1%E5%BA%81	ja	Q860935	True	4
ja-6154	124	4	日照時間	http://ja.wikipedia.org/wiki/%E6%97%A5%E7%85%A7%E6%99%82%E9%96%93	ja	Q14907183	True	3
ja-6154	216	4	上屋久町	http://ja.wikipedia.org/wiki/%E4%B8%8A%E5%B1%8B%E4%B9%85%E7%94%BA	ja	Q10867373	True	2
ja-6154	276	3	種子島	http://ja.wikipedia.org/wiki/%E7%A8%AE%E5%AD%90%E5%B3%B6	ja	Q696228	True	4
ja-6154	280	3	屋久島	http://ja.wikipedia.org/wiki/%E5%B1%8B%E4%B9%85%E5%B3%B6	ja	Q242176	True	4
ja-6154	377	2	福岡	http://ja.wikipedia.org/wiki/%E7%A6%8F%E5%B2%A1%E5%B8%82	ja	Q26600	True	5
ja-6154	387	3	名古屋	http://ja.wikipedia.org/wiki/%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82	ja	Q11751	True	5
ja-6154	396	2	仙台	http://ja.wikipedia.org/wiki/%E4%BB%99%E5%8F%B0%E5%B8%82	ja	Q46747	True	5
ja-6154	441	5	農林水産省	http://ja.wikipedia.org/wiki/%E8%BE%B2%E6%9E%97%E6%B0%B4%E7%94%A3%E7%9C%81	ja	Q1376786	True	4
ja-6154	541	3	東京都	http://ja.wikipedia.org/wiki/%E6%9D%B1%E4%BA%AC%E9%83%BD	ja	Q1490	True	5
ja-6154	544	6	中央卸売市場	http://ja.wikipedia.org/wiki/%E4%B8%AD%E5%A4%AE%E5%8D%B8%E5%A3%B2%E5%B8%82%E5%A0%B4	ja	Q11363644	False	3
ja-6154	551	2	野菜	http://ja.wikipedia.org/wiki/%E9%87%8E%E8%8F%9C	ja	Q11004	True	5
ja-6160	111	4	ジャワ島	http://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A3%E3%83%AF%E5%B3%B6	ja	Q3757	True	5
ja-6160	118	7	マグニチュード	http://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%B0%E3%83%8B%E3%83%81%E3%83%A5%E3%83%BC%E3%83%89	ja	Q500062	True	4
ja-6160	210	5	ジャカルタ	http://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A3%E3%82%AB%E3%83%AB%E3%82%BF	ja	Q3630	True	5
ja-6160	411	12	ボロブドゥール寺院遺跡群	http://ja.wikipedia.org/wiki/%E3%83%9C%E3%83%AD%E3%83%96%E3%83%89%E3%82%A5%E3%83%BC%E3%83%AB%E5%AF%BA%E9%99%A2%E9%81%BA%E8%B7%A1%E7%BE%A4	ja	Q29070	True	2
ja-6160	424	9	プランバナン寺院群	http://ja.wikipedia.org/wiki/%E3%83%97%E3%83%A9%E3%83%B3%E3%83%90%E3%83%8A%E3%83%B3%E5%AF%BA%E9%99%A2%E7%BE%A4	ja	Q47721	True	3
ja-6160	511	4	ムラピ山	http://ja.wikipedia.org/wiki/%E3%83%A0%E3%83%A9%E3%83%94%E5%B1%B1	ja	Q134108	True	3
ja-6160	557	4	ユドヨノ	http://ja.wikipedia.org/wiki/%E3%82%B9%E3%82%B7%E3%83%AD%E3%83%BB%E3%83%90%E3%83%B3%E3%83%90%E3%83%B3%E3%83%BB%E3%83%A6%E3%83%89%E3%83%A8%E3%83%8E	ja	Q57405	True	4
ja-6160	646	2	津波	http://ja.wikipedia.org/wiki/%E6%B4%A5%E6%B3%A2	ja	Q8070	True	5
ja-6161	49	2	日本	http://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC	ja	Q17	True	5
ja-6161	52	7	アマチュア野球	http://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%9E%E3%83%81%E3%83%A5%E3%82%A2%E9%87%8E%E7%90%83	ja	Q11505603	False	3
ja-6161	82	5	山本英一郎	http://ja.wikipedia.org/wiki/%E5%B1%B1%E6%9C%AC%E8%8B%B1%E4%B8%80%E9%83%8E	ja	Q11469331	False	2
ja-6161	123	11	国際野球連盟（IBA）	http://ja.wikipedia.org/wiki/%E5%9B%BD%E9%9A%9B%E9%87%8E%E7%90%83%E9%80%A3%E7%9B%9F	ja	Q667909	True	3
ja-6161	186	4	プロ野球	http://ja.wikipedia.org/wiki/%E3%83%97%E3%83%AD%E9%87%8E%E7%90%83	ja	Q907328	True	5
ja-6161	225	6	日本野球殿堂	http://ja.wikipedia.org/wiki/%E9%87%8E%E7%90%83%E6%AE%BF%E5%A0%82	ja	Q11645903	False	2
ja-6161	338	2	台湾	http://ja.wikipedia.org/wiki/%E5%8F%B0%E6%B9%BE	ja	Q22502	True	5
ja-6161	346	4	成田空港	http://ja.wikipedia.org/wiki/%E6%88%90%E7%94%B0%E5%9B%BD%E9%9A%9B%E7%A9%BA%E6%B8%AF	ja	Q36454	True	4
ja-6163	44	8	ジャワ島中部地震	http://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A3%E3%83%AF%E5%9C%B0%E9%9C%87_(2006%E5%B9%B4)	ja	Q867691	True	3
ja-6163	255	2	日本	http://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC	ja	Q17	True	5
ja-6163	260	5	マレーシア	http://ja.wikipedia.org/wiki/%E3%83%9E%E3%83%AC%E3%83%BC%E3%82%B7%E3%82%A2	ja	Q833	True	5
ja-6163	388	4	イタリア	http://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%BF%E3%83%AA%E3%82%A2	ja	Q38	True	5
ja-6163	395	6	世界食糧計画	http://ja.wikipedia.org/wiki/%E4%B8%96%E7%95%8C%E9%A3%9F%E7%B3%A7%E8%A8%88%E7%94%BB	ja	Q204344	True	4
ja-6163	452	7	オーストラリア	http://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%AA%E3%82%A2	ja	Q408	True	5
ja-6163	537	4	欧州連合	http://ja.wikipedia.org/wiki/%E6%AC%A7%E5%B7%9E%E9%80%A3%E5%90%88	ja	Q458	True	5
ja-6163	578	3	カナダ	http://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%8A%E3%83%80	ja	Q16	True	5
ja-6163	645	4	イギリス	http://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%AE%E3%83%AA%E3%82%B9	ja	Q145	True	5
ja-6163	650	4	国際連合	http://ja.wikipedia.org/wiki/%E5%9B%BD%E9%9A%9B%E9%80%A3%E5%90%88	ja	Q1065	True	5
ja-6163	692	7	中華人民共和国	http://ja.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD	ja	Q148	True	5
ja-6163	700	8	ジョクジャカルタ	http://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A7%E3%82%AF%E3%82%B8%E3%83%A3%E3%82%AB%E3%83%AB%E3%82%BF	ja	Q3741	True	4
ja-6163	770	4	スマトラ	http://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%9E%E3%83%88%E3%83%A9%E5%B3%B6	ja	Q3492	True	5
ja-6163	880	3	レンガ	http://ja.wikipedia.org/wiki/%E3%83%AC%E3%83%B3%E3%82%AC	ja	Q61055328	False	3
ja-6163	1010	9	プランバナン寺院群	http://ja.wikipedia.org/wiki/%E3%83%97%E3%83%A9%E3%83%B3%E3%83%90%E3%83%8A%E3%83%B3%E5%AF%BA%E9%99%A2%E7%BE%A4	ja	Q47721	True	3
ja-6163	1185	7	マグニチュード	http://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%B0%E3%83%8B%E3%83%81%E3%83%A5%E3%83%BC%E3%83%89	ja	Q500062	True	4
ja-6163	1239	4	プレート	http://ja.wikipedia.org/wiki/%E3%83%97%E3%83%AC%E3%83%BC%E3%83%88	ja	Q215680	True	0
ja-6163	1271	8	スマトラ島沖地震	http://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%9E%E3%83%88%E3%83%A9%E5%B3%B6%E6%B2%96%E5%9C%B0%E9%9C%87	ja	Q15706575	True	3
ja-6163	1286	7	パキスタン地震	http://ja.wikipedia.org/wiki/%E3%83%91%E3%82%AD%E3%82%B9%E3%82%BF%E3%83%B3%E5%9C%B0%E9%9C%87_(2005%E5%B9%B4)	ja	Q210137	True	3
