docid	title	curid	revid	url	text_md5
ta-2233	வன்னிப் போர்க்கள மருத்துவர் தேர்தலில் போட்டி	2233	48351	https://ta.wikinews.org/wiki?curid=2233	cc8cc75abfb62051acf0fdf099ef7c7b
ta-2235	ஐக்கிய இராச்சியப் பிரதமர் அந்நாட்டுப் பொதுத் தேர்தல் தேதியை அறிவித்தார்	2235	48352	https://ta.wikinews.org/wiki?curid=2235	395f8a7ff3d23a5211f0e9a1c7d51b75
ta-2240	ரன்வீர்சேனா அமைப்பின் 16 பேருக்கு தூக்குத்தண்டனை தீர்ப்பு	2240	48353	https://ta.wikinews.org/wiki?curid=2240	a24b18c89d405112a707817823b86505
ta-2245	வன்முறைகளுக்கு மத்தியில் இலங்கையில் நாடாளுமன்றத் தேர்தல் வாக்குப்பதிவு	2245	48354	https://ta.wikinews.org/wiki?curid=2245	655f433e79a224d8355f1aa6b2535cba
ta-2246	கிர்கிஸ்தானில் எதிர்க்கட்சி புதிய இடைக்கால அரசை அறிவித்தது	2246	48355	https://ta.wikinews.org/wiki?curid=2246	95376c903387e79fad24286282925bec
ta-2250	ரியோடிசெனிரோ மண் சரிவில் சிக்கி 200 பேர் புதைந்து மரணம்	2250	48356	https://ta.wikinews.org/wiki?curid=2250	dc5062aff455cf2532dae59a7964a463
ta-2258	தேர்தல் 2010: தமிழ்த் தேசியக் கூட்டமைப்புக்கு மொத்தம் 13 இடங்கள்	2258	48357	https://ta.wikinews.org/wiki?curid=2258	6df534ee83e9a9413e872f10f1b08a40
ta-2260	இலங்கை தேர்தல் 2010: ராஜபக்சவின் ஆளும் கட்சி பெரும்பான்மையைப் பெற்றது	2260	48358	https://ta.wikinews.org/wiki?curid=2260	e0affa623b0546f52c6e7a6422a22b20
ta-2266	இலங்கை அகதிகளின் புகலிட விண்ணப்பங்களை ஏற்பதை ஆத்திரேலியா இடைநிறுத்தம்	2266	48359	https://ta.wikinews.org/wiki?curid=2266	5069ad4d0b891df3751dd2a4de04a69a
ta-2267	வெள்ளியில் எரிமலைகள் வெடிக்கும் சாத்தியக்கூறுகள் இன்னும் உள்ளன	2267	48360	https://ta.wikinews.org/wiki?curid=2267	816ebfd690ad8d1893ea8d8b0a86bdc6
